Vector 1: Weights: [0. 0. 0. 0.], Bias: 0, Count: 0
Vector 140: Weights: [-45.730821 -34.00872  -33.11454    0.429753], Bias: 35, Count: 82
Vector 141: Weights: [-44.993221 -29.15622  -37.91314   -5.236147], Bias: 36, Count: 38
Vector 142: Weights: [-49.370521 -34.67292  -26.97414   -5.644347], Bias: 37, Count: 2
Vector 143: Weights: [-46.978821 -30.11642  -31.96294   -8.543047], Bias: 38, Count: 53
Vector 144: Weights: [-47.498321 -26.85312  -35.05244   -7.558147], Bias: 37, Count: 22
Vector 145: Weights: [-51.194421 -40.53102  -17.47294  -10.176247], Bias: 38, Count: 12
Vector 146: Weights: [-50.299301 -35.75722  -22.31604  -15.767147], Bias: 39, Count: 1
Vector 147: Weights: [-50.818771 -32.49392  -25.40554  -14.782227], Bias: 38, Count: 113
Vector 148: Weights: [-51.147971 -28.03872  -29.97734  -13.793427], Bias: 37, Count: 1
Vector 149: Weights: [-49.116971 -26.18672  -32.98944  -13.790424], Bias: 38, Count: 38
Vector 150: Weights: [-47.099271 -24.38852  -35.94754  -13.580524], Bias: 39, Count: 55
Vector 151: Weights: [-46.312371 -33.95482  -32.16084   -6.077124], Bias: 38, Count: 81
Vector 152: Weights: [-44.862271 -30.34812  -36.21654   -7.673724], Bias: 39, Count: 61
Vector 153: Weights: [-48.220471 -37.58852  -24.77464   -8.244854], Bias: 40, Count: 13
Vector 154: Weights: [-46.730871 -34.15972  -28.80554   -9.670754], Bias: 41, Count: 78
Vector 155: Weights: [-47.060111 -29.70452  -33.37734   -8.681954], Bias: 40, Count: 44
Vector 156: Weights: [-47.579611 -26.44122  -36.46684   -7.697054], Bias: 39, Count: 13
Vector 157: Weights: [-50.721911 -39.47772  -20.78954   -8.358704], Bias: 40, Count: 8
Vector 158: Weights: [-51.651611 -35.68062  -25.43244   -8.063004], Bias: 39, Count: 25
Vector 159: Weights: [-49.971711 -31.47382  -29.97224  -10.456104], Bias: 40, Count: 3
Vector 160: Weights: [-50.491211 -28.21052  -33.06174   -9.471204], Bias: 39, Count: 124
Vector 161: Weights: [-49.704311 -37.77682  -29.27504   -1.967804], Bias: 38, Count: 5
Vector 162: Weights: [-48.196611 -35.81722  -32.33344   -2.090234], Bias: 39, Count: 82
Vector 163: Weights: [-47.459011 -30.96472  -37.13204   -7.756134], Bias: 40, Count: 40
Vector 164: Weights: [-45.067311 -26.40822  -42.12084  -10.654834], Bias: 41, Count: 11
Vector 165: Weights: [-48.824611 -34.69982  -31.81764  -10.274244], Bias: 42, Count: 37
Vector 166: Weights: [-48.663531 -28.23742  -40.17494   -8.752644], Bias: 41, Count: 27
